City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
hobart,-42.8794,147.3294,55.0,54,75,5.75,AU,1611777970
tuktoyaktuk,69.4541,-133.0374,-20.2,76,40,6.91,CA,1611777970
arraial do cabo,-22.9661,-42.0278,87.8,65,0,26.46,BR,1611777970
clyde river,70.4692,-68.5914,-9.4,70,40,2.3,CA,1611777970
vila franca do campo,37.7167,-25.4333,64.0,94,40,19.57,PT,1611777971
flinders,-34.5833,150.8552,68.0,79,100,1.99,AU,1611777971
miri,4.4148,114.0089,75.2,100,40,1.14,MY,1611777787
luebo,-5.35,21.4167,71.02,96,100,2.75,CD,1611777971
superior,46.7208,-92.1041,10.99,48,1,5.75,US,1611777972
gisborne,-38.6533,178.0042,73.24,65,9,7.4,NZ,1611777972
camargo,27.6667,-105.1667,54.81,36,78,5.1,MX,1611777972
novikovo,51.1537,37.8879,36.18,92,100,10.89,RU,1611777972
cayenne,4.9333,-52.3333,82.4,69,90,8.05,GF,1611777972
bethel,41.3712,-73.414,33.8,69,90,9.22,US,1611777973
faya,18.3851,42.4509,59.0,35,0,6.91,SA,1611777973
kununurra,-15.7667,128.7333,77.0,100,90,6.91,AU,1611777973
kwinana,-32.25,115.7667,62.01,55,0,14.97,AU,1611777973
sabha,27.0377,14.4283,49.51,46,0,5.84,LY,1611777973
katsuura,35.1333,140.3,44.6,65,75,9.22,JP,1611777974
mar del plata,-38.0023,-57.5575,71.6,49,0,12.66,AR,1611777764
nishihara,26.1842,127.7558,62.6,67,40,14.97,JP,1611777974
san vicente,-26.6167,-54.1333,70.68,91,100,6.06,AR,1611777974
nanortalik,60.1432,-45.2371,24.93,90,100,0.67,GL,1611777974
port macquarie,-31.4333,152.9167,71.6,100,90,1.14,AU,1611777891
kasongo,-4.45,26.6667,70.39,94,93,1.68,CD,1611777975
bredasdorp,-34.5322,20.0403,60.8,63,99,3.44,ZA,1611777975
solnechnyy,50.7214,136.6319,-11.33,86,100,2.04,RU,1611777975
djambala,-2.5447,14.7533,68.16,89,98,3.06,CG,1611777976
mehamn,71.0357,27.8492,24.8,68,75,16.11,NO,1611777976
portland,45.5234,-122.6762,43.0,81,75,3.4,US,1611777318
houma,29.5958,-90.7195,69.8,68,40,12.66,US,1611777753
chake chake,-5.2459,39.7666,78.6,83,5,9.48,TZ,1611777976
nangal,31.3667,76.3833,48.6,52,0,3.27,IN,1611777977
ponta delgada,37.7333,-25.6667,64.0,94,40,19.57,PT,1611777977
bubaque,11.2833,-15.8333,78.3,67,0,16.22,GW,1611777977
tuatapere,-46.1333,167.6833,50.0,86,100,17.0,NZ,1611777977
olean,42.0776,-78.4297,26.6,93,90,6.91,US,1611777750
bambous virieux,-20.3428,57.7575,78.01,83,20,4.61,MU,1611777978
hambantota,6.1241,81.1185,74.61,78,65,14.09,LK,1611777978
acajutla,13.5928,-89.8275,87.8,42,0,2.3,SV,1611777978
nouna,12.7333,-3.8667,77.97,14,0,9.95,BF,1611777978
agadez,19.75,10.25,66.33,24,0,10.38,NE,1611777979
pitsunda,43.1592,40.3378,66.2,22,100,17.9,GE,1611777979
fenoarivo,-18.933,47.4354,68.0,88,75,4.61,MG,1611777979
dingle,10.9995,122.6711,74.89,90,100,7.76,PH,1611777980
riyadh,24.6877,46.7219,68.0,28,0,5.75,SA,1611777800
seoul,37.5683,126.9778,30.2,80,0,2.3,KR,1611777893
xichang,27.8964,102.2634,37.02,77,12,3.04,CN,1611777980
zhigansk,66.7697,123.3711,-47.81,76,56,7.02,RU,1611777980
charters towers,-20.1,146.2667,70.47,96,79,6.49,AU,1611777981
bengkulu,-3.8004,102.2655,74.61,93,100,8.61,ID,1611777981
rigaud,45.4793,-74.3024,28.99,78,94,1.99,CA,1611777981
villazon,-22.0866,-65.5942,63.46,31,84,12.08,BO,1611777981
nelson bay,-32.7167,152.15,71.01,100,90,19.57,AU,1611777836
carupano,10.6678,-63.2585,80.35,68,91,13.78,VE,1611777982
chokurdakh,70.6333,147.9167,-16.33,88,100,14.32,RU,1611777982
krasnoselkup,65.7,82.4667,-38.15,82,29,4.47,RU,1611777982
tasiilaq,65.6145,-37.6368,21.2,49,90,27.63,GL,1611777982
pacific grove,36.6177,-121.9166,53.01,87,90,4.61,US,1611777983
east london,-33.0153,27.9116,69.93,80,96,14.56,ZA,1611777983
yerbogachen,61.2767,108.0108,-39.84,80,49,5.3,RU,1611777983
ercis,39.0287,43.3586,24.8,86,75,3.51,TR,1611777984
harper,4.375,-7.7169,78.85,83,3,6.35,LR,1611777787
marienburg,54.0359,19.0266,32.0,100,81,6.51,PL,1611777984
san-pedro,4.7485,-6.6363,78.06,88,4,7.78,CI,1611777984
sitka,57.0531,-135.33,28.4,40,1,3.44,US,1611777985
los llanos de aridane,28.6585,-17.9182,66.2,77,75,8.05,ES,1611777985
santa maria,-29.6842,-53.8069,72.0,91,100,3.65,BR,1611777913
sao felix do xingu,-6.6447,-51.995,81.36,85,76,3.98,BR,1611777985
san patricio,28.017,-97.5169,71.6,23,75,17.27,US,1611777985
koumac,-20.5667,164.2833,78.19,78,82,7.99,NC,1611777986
prieska,-29.6641,22.7474,75.16,46,20,27.18,ZA,1611777986
bhatkal,13.9667,74.5667,74.75,72,0,4.21,IN,1611777986
hargeysa,9.56,44.065,58.59,91,20,8.3,SO,1611777912
ahipara,-35.1667,173.1667,67.5,82,64,5.1,NZ,1611777987
dhidhdhoo,6.8833,73.1,80.89,69,35,11.7,MV,1611777987
saurimo,-9.6608,20.3916,66.67,91,100,2.89,AO,1611777987
atar,20.5169,-13.0499,74.93,16,0,10.56,MR,1611777688
rolla,37.9514,-91.7713,30.2,80,90,9.22,US,1611777987
edd,13.9297,41.6925,77.38,43,0,22.66,ER,1611777988
mildura,-34.2,142.15,71.6,43,90,5.75,AU,1611777988
egvekinot,66.3167,-179.1667,-14.55,87,100,21.83,RU,1611777915
port elizabeth,-33.918,25.5701,66.2,88,75,8.05,ZA,1611777901
tocopilla,-22.092,-70.1979,73.96,53,31,5.53,CL,1611777991
souillac,-20.5167,57.5167,75.2,83,20,4.61,MU,1611777991
lompoc,34.6391,-120.4579,51.8,87,90,16.11,US,1611777869
